issn_fisico,issn_virtual,issn_normalizado,texto_espanol,texto_ingles,tokens_espanol,tokens_ingles,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_monto_ppp_usd,apc_tipo,apc_real_disponible
0034-7450,1657-0448,0034-7450,medicina clinica ciencias medicas salud b,dermatology q4 surgery medicine,6,4,,,,,,,False
2539-3669,2215-7727,2539-3669,negocios management economia ciencias sociales c gestion desarrollo libre,agronomy crop science q4 economics econometrics geography planning development agricultural biological sciences finance social innovation humanities technology life general,9,19,,,,,,,False
2215-7727,2215-7727,2215-7727,sociologia ciencias sociales c,agronomy crop science q4 economics econometrics geography planning development agricultural biological sciences finance social,4,14,1783.67,EUR,1926.36,1.08,5069.37,observado,True
0124-7441,0124-7441,2590-4566,derecho ciencias sociales c,political science relations q2 sociology social sciences,4,7,,,,,,,False
1657-9267,2011-2777,1657-9267,psicologia ciencias sociales b,psychology miscellaneous q4 social universitas psychologica sciences education philosophy religion,4,10,2323.34,EUR,2509.21,1.08,6603.18,observado,True
0124-0781,0719-5338,2590-8669,ciencias politicas sociales c,history q4 political science relations arts humanities social sciences sociology latin america public policy economy general,4,16,2443.03,EUR,2638.47,1.08,6943.34,observado,True
1794-8231,,2462-8794,matematicas aplicadas matematica ciencias naturales c ecomatematico education mathematics,education special aspects science mathematics,9,5,2826.34,EUR,3052.45,1.08,8032.76,observado,True
1794-5658,,2500-7769,otras humanidades c,,3,0,,,,,,,False
1657-5997,1970-7452,2027-5374,enfermeria ciencias salud medicas c,,5,0,,,,,,,False
0123-4366,2145-4493,2346-2442,derecho ciencias sociales a2 privado universidad catolica santisima concepcion,law q4 social sciences legal jurisprudence history public private,9,9,,,,,,,False
0370-3908,0370-3908,2382-4980,ciencias tierra medioambientales naturales c academia colombiana exactas fisicas,history philosophy science q3 agricultural biological sciences miscellaneous q4 biochemistry genetics molecular biology chemistry earth planetary energy mathematics physics astronomy arts humanities social general works scholarship learning,9,27,,,,,,,False
2027-5846,,2027-5846,otras ingenierias tecnologias ingenieria tecnologia c usbmed,technology engineering biomedical software computer science data general civil,7,9,5176.12,EUR,5590.21,1.08,14711.08,observado,True
1692-3030,1692-3030,2389-7716,derecho ciencias sociales b,law q2 social sciences juridicas cuc penal code civil estonian fundamental personal rights european europe,4,15,,,,,,,False
0124-5996,2358-2820,2346-2450,economia negocios ciencias sociales b institucional,real estate finance markets social sciences economic theory demography economics as science,6,12,,,,,,,False
0120-7555,0120-7555,2346-206X,economia negocios ciencias sociales c,geography planning development q4 tourism leisure hospitality management business accounting social sciences communication new media marketing public relations strategy branding language literature philology linguistics mass,5,25,1996.61,EUR,2156.34,1.08,5674.58,observado,True
0123-3432,2246-2589,2145-566X,idiomas literatura humanidades a2,,4,0,,,,,,,False
0122-6517,1970-7452,2382-4700,ingenieria electrica electronica ingenierias informatica tecnologia b,,7,0,,,,,,,False
