issn_fisico,issn_virtual,issn_normalizado,texto_espanol,texto_ingles,tokens_espanol,tokens_ingles,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_monto_ppp_usd,apc_tipo,apc_real_disponible
2215-7727,2215-7727,2215-7727,sociologia ciencias sociales c,agronomy crop science q4 economics econometrics geography planning development agricultural biological sciences finance social,4,14,1783.67,EUR,1926.36,1.08,5069.37,observado,True
1657-9267,2011-2777,1657-9267,psicologia ciencias sociales b,psychology miscellaneous q4 social universitas psychologica sciences education philosophy religion,4,10,2323.34,EUR,2509.21,1.08,6603.18,observado,True
0124-0781,0719-5338,2590-8669,ciencias politicas sociales c,history q4 political science relations arts humanities social sciences sociology latin america public policy economy general,4,16,2443.03,EUR,2638.47,1.08,6943.34,observado,True
1794-8231,,2462-8794,matematicas aplicadas matematica ciencias naturales c ecomatematico education mathematics,education special aspects science mathematics,9,5,2826.34,EUR,3052.45,1.08,8032.76,observado,True
2027-5846,,2027-5846,otras ingenierias tecnologias ingenieria tecnologia c usbmed,technology engineering biomedical software computer science data general civil,7,9,5176.12,EUR,5590.21,1.08,14711.08,observado,True
0120-7555,0120-7555,2346-206X,economia negocios ciencias sociales c,geography planning development q4 tourism leisure hospitality management business accounting social sciences communication new media marketing public relations strategy branding language literature philology linguistics mass,5,25,1996.61,EUR,2156.34,1.08,5674.58,observado,True
0120-0488,1657-0448,2665-4385,otras ciencias agricolas c,dermatology q4 surgery medicine sociology social sciences antrophology political science general,4,11,2400.0,EUR,2592.0,1.08,6821.05,observado,True
0124-2121,0124-2121,2665-2420,educacion general incluye capacitacion pedagogia ciencias sociales b humanismo education teacher training didactics teaching special aspects theory practice,cultural q3 history philosophy science education q4 gender arts humanities social sciences,18,12,2618.0,EUR,2827.44,1.08,7440.63,observado,True
0123-5362,0123-5362,0123-5362,economia negocios ciencias sociales c rosario,economics econometrics finance miscellaneous q4 social sciences economic theory demography as science,6,12,204.92,EUR,221.31,1.08,582.39,observado,True
0121-8417,2215-4744,2357-4720,historia arqueologia humanidades c sociedad history historiography costa rican central american latin general europe america spanish philosophy psychology religion doctrinal theology specific doctrines movements heresies schisms,history q4 political science relations arts humanities social sciences,26,9,1116.0,EUR,1205.28,1.08,3171.79,observado,True
1794-8932,2183-9468,2346-0806,ciencias educacion sociales b,sophia architecture city image art practice photography fine arts visual,4,10,1294.3,EUR,1397.84,1.08,3678.53,observado,True
2346-3775,2346-3775,2346-3775,agricultura silvicultura pesca ciencias agricolas b,agronomy crop science q3 ecology evolution behavior systematics plant agricultural biological sciences,6,12,2784.55,EUR,3007.31,1.08,7913.97,observado,True
1692-0279,2443-9991,2256-4322,economia negocios ciencias sociales b,education innovation teacher training didactics teaching,5,6,1932.16,EUR,2086.73,1.08,5491.39,observado,True
1900-9895,0120-1867,2500-5324,ciencias educacion sociales c,law q3 political science relations q4 social sciences education educational policy latin america justice right to,4,16,1828.24,EUR,1974.5,1.08,5196.05,observado,True
2422-4200,1666-6933,2422-4200,ciencias sociales interdisciplinaria otras c,science engineering technology chemistry information computer general civil,5,8,243.34,EUR,262.81,1.08,691.61,observado,True
0120-4483,2313-979X,2665-1327,economia negocios ciencias sociales b,economic policy social macroeconomics economy financial development sciences theory demography finance history conditions,5,13,1828.49,EUR,1974.77,1.08,5196.76,observado,True
1794-161X,,2389-7864,ciencias biologicas naturales c,,4,0,2784.55,EUR,3007.31,1.08,7913.97,observado,True
0122-8803,0122-8803,2322-6889,historia arqueologia humanidades b caribe history historiography costa rican central american latin general europe america spanish philosophy psychology religion doctrinal theology specific doctrines movements heresies schisms,history q3 arts humanities,26,4,1116.0,EUR,1205.28,1.08,3171.79,observado,True
0123-4641,2248-7085,0123-4641,linguistica idiomas literatura humanidades b,,5,0,3306.51,EUR,3571.03,1.08,9397.45,observado,True
1657-6357,2389-9050,2389-9050,ciencias sociales interdisciplinaria otras c sociedad economia,social sciences economics econometrics change sociology issues general,7,8,1996.61,EUR,2156.34,1.08,5674.58,observado,True
0121-7372,1657-0448,2462-991X,otras ciencias medicas salud c,dermatology q4 surgery medicine repertorio medicina cirugia experimental clinical oncology public health general,5,13,1448.6,EUR,1564.49,1.08,4117.08,observado,True
0120-2596,0120-2596,0120-2596,economia negocios ciencias sociales c lecturas,business management accounting miscellaneous q4 economics econometrics finance social sciences sociology political science statistics probability uncertainty decision applied public policy economic thought history conditions theory demography as,6,27,2838.0,EUR,3065.04,1.08,8065.89,observado,True
0120-131X,0120-131X,2389-9980,teologia otras humanidades c,religious q2 arts humanities design technology engineering general civil,4,9,1300.0,EUR,1404.0,1.08,3694.74,observado,True
0120-0011,0120-0011,2357-3848,otras ciencias medicas salud c,medicine miscellaneous q4 natural sciences social health mathematical logic information tecnology agriculture,5,12,1448.6,EUR,1564.49,1.08,4117.08,observado,True
2011-799X,2011-799X,2011-799X,idiomas literatura humanidades a2,linguistics language q2 social sciences,4,5,1828.24,EUR,1974.5,1.08,5196.05,observado,True
1909-0528,1909-0528,1909-0528,derecho ciencias sociales c via inveniendi et iudicandi virtual viei,law q1 social sciences legal history politics political science general,10,10,2676.26,EUR,2890.36,1.08,7606.21,observado,True
0121-4705,2386-8066,0121-4705,ciencias politicas sociales a1,history q2 political science relations q3 sociology arts humanities social sciences,4,11,2258.19,EUR,2438.85,1.08,6418.03,observado,True
2390-0725,2422-3182,2422-3182,negocios management economia ciencias sociales b cea economy econometrics marketing administration accounting finance,social sciences commerce finance,13,4,638.23,EUR,689.29,1.08,1813.92,observado,True
