issn,fuente,tipo_cruce,resultado,similitud
1909-4450,scimago,issn_primario,coincidencia,100.0
0120-2456,scimago,issn_primario,coincidencia,100.0
2346-206X,scimago,issn_primario,coincidencia,100.0
2027-1174,scimago,issn_primario,coincidencia,100.0
2248-8723,scimago,issn_primario,coincidencia,100.0
0120-548X,scimago,issn_primario,coincidencia,100.0
2145-9797,scimago,issn_primario,coincidencia,100.0
0120-0062,scimago,issn_primario,coincidencia,100.0
0121-4470,scimago,issn_primario,coincidencia,100.0
1657-5997,scimago,issn_primario,coincidencia,100.0
2145-4507,scimago,issn_primario,coincidencia,100.0
1900-5180,scimago,issn_primario,coincidencia,100.0
2145-8553,scimago,issn_primario,coincidencia,100.0
2344-8393,scimago,issn_primario,coincidencia,100.0
2145-2660,scimago,issn_primario,coincidencia,100.0
0120-2804,scimago,issn_primario,coincidencia,100.0
2216-0280,scimago,issn_primario,coincidencia,100.0
2539-4711,scimago,issn_primario,coincidencia,100.0
1794-6190,scimago,issn_primario,coincidencia,100.0
0041-9060,scimago,issn_primario,coincidencia,100.0
2389-9980,scimago,issn_primario,coincidencia,100.0
0120-4823,scimago,issn_primario,coincidencia,100.0
1909-0528,scimago,issn_primario,coincidencia,100.0
1794-3108,scimago,issn_primario,coincidencia,100.0
2389-7732,scimago,issn_primario,coincidencia,100.0
2322-9675,scimago,issn_primario,coincidencia,100.0
0120-3886,scimago,issn_primario,coincidencia,100.0
2011-3080,scimago,issn_primario,coincidencia,100.0
2357-3848,scimago,issn_primario,coincidencia,100.0
0120-159X,scimago,issn_primario,coincidencia,100.0
2346-1829,scimago,issn_primario,coincidencia,100.0
1900-6586,scimago,issn_primario,coincidencia,100.0
0120-4157,scimago,issn_primario,coincidencia,100.0
0121-7577,scimago,issn_primario,coincidencia,100.0
0122-8706,scimago,issn_primario,coincidencia,100.0
2011-7531,scimago,issn_primario,coincidencia,100.0
0121-4705,scimago,issn_primario,coincidencia,100.0
2357-3732,scimago,issn_primario,coincidencia,100.0
1900-6004,scimago,issn_primario,coincidencia,100.0
0034-7426,scimago,issn_primario,coincidencia,100.0
0124-7913,scimago,issn_primario,coincidencia,100.0
0120-4483,scimago,issn_primario,coincidencia,100.0
0120-3584,scimago,issn_primario,coincidencia,100.0
2145-8987,scimago,issn_primario,coincidencia,100.0
0034-7418,scimago,issn_primario,coincidencia,100.0
2346-2426,scimago,issn_primario,coincidencia,100.0
0366-5232,scimago,issn_primario,coincidencia,100.0
2346-3864,scimago,issn_primario,coincidencia,100.0
1657-9550,scimago,issn_primario,coincidencia,100.0
1794-6670,scimago,issn_primario,coincidencia,100.0
