variable,registros_faltantes,registros_totales,porcentaje_faltantes
Continued By,906,906,100.0
institucion_editora_3,906,906,100.0
titulo_normalizado_openapc_dup,906,906,100.0
Continues,905,906,99.89
atributos_licencia,904,906,99.78
Preservation Service: national library,898,906,99.12
Waiver policy information URL,897,906,99.01
apc_amount_raw,887,906,97.9
institucion_editora_2,877,906,96.8
is_hybrid,869,906,95.92
apc_moneda,858,906,94.7
apc_moneda_original,858,906,94.7
apc_monto,858,906,94.7
apc_monto_original,858,906,94.7
tasa_usd_utilizada,858,906,94.7
URL for deposit policy,849,906,93.71
Country of other organisation,843,906,93.05
Deposit policy directory,810,906,89.4
titulo_alternativo,797,906,87.97
Other fees information URL,792,906,87.42
servicios_preservacion,786,906,86.75
Preservation information URL,763,906,84.22
titulo_normalizado_scimago_dup,758,906,83.66
areas,741,906,81.79
categorias,741,906,81.79
citas_por_doc_2y,741,906,81.79
cobertura,741,906,81.79
contraste_publindex_cuartil,741,906,81.79
cuartil_sjr,741,906,81.79
docs_citables_3y,741,906,81.79
h_index,741,906,81.79
h_index_minmax,741,906,81.79
h_index_zscore,741,906,81.79
open_access,741,906,81.79
overton,741,906,81.79
pct_female,741,906,81.79
rank,741,906,81.79
ratio_citas_docs,741,906,81.79
refs_por_doc,741,906,81.79
sjr_score,741,906,81.79
sjr_score_minmax,741,906,81.79
sjr_score_zscore,741,906,81.79
sourceid,741,906,81.79
tipo_publicacion,741,906,81.79
total_citas_3y,741,906,81.79
total_docs,741,906,81.79
total_docs_3y,741,906,81.79
total_refs,741,906,81.79
Other organisation,677,906,74.72
cc_legible_maquina,674,906,74.39
issn_electronic,668,906,73.73
issn_linking,618,906,68.21
identificadores_persistentes,597,906,65.89
titulo_normalizado_doaj_dup,583,906,64.35
Copyright information URL,552,906,60.93
issn_impreso,529,906,58.39
fecha_ultimo_articulo,495,906,54.64
issn_electronico,474,906,52.32
Last Full Review Date,470,906,51.88
URL for license terms,449,906,49.56
APC information URL,448,906,49.45
Mirror Journal,448,906,49.45
Open Journals Collective,448,906,49.45
Review process information URL,448,906,49.45
URL for journal's aims & scope,448,906,49.45
URL for journal's instructions for authors,448,906,49.45
URL for the Editorial Board page,448,906,49.45
When did the journal start to publish all content using an open license?,448,906,49.45
autor_retiene_copyright,448,906,49.45
codigos_lcc,448,906,49.45
cumple_oa,448,906,49.45
fecha_actualizacion,448,906,49.45
fecha_incorporacion,448,906,49.45
idiomas,448,906,49.45
licencia,448,906,49.45
materias,448,906,49.45
num_articulos,448,906,49.45
pais_editorial,448,906,49.45
palabras_clave,448,906,49.45
politica_exencion,448,906,49.45
politica_plagio,448,906,49.45
semanas_pub,448,906,49.45
semanas_pub_minmax,448,906,49.45
semanas_pub_zscore,448,906,49.45
semanas_submission_publicacion,448,906,49.45
subscribe_to_open,448,906,49.45
tiene_apc,448,906,49.45
tiene_otros_cobros,448,906,49.45
tipo_revision,448,906,49.45
url,448,906,49.45
url_revista,448,906,49.45
editorial,377,906,41.61
codigo_dane,87,906,9.6
apc_metodo_imputacion,48,906,5.3
institucion_editora_1,19,906,2.1
issn_print,14,906,1.55
id_revista_publindex,13,906,1.43
_estado_calidad,0,906,0.0
_fecha_captura,0,906,0.0
_fuentes,0,906,0.0
_hash_registro,0,906,0.0
_version_proceso,0,906,0.0
anio_clasificacion,0,906,0.0
apc_es_outlier,0,906,0.0
apc_imputado,0,906,0.0
apc_monto_ppp_usd,0,906,0.0
apc_monto_usd,0,906,0.0
apc_monto_usd_minmax,0,906,0.0
apc_monto_usd_zscore,0,906,0.0
apc_tipo,0,906,0.0
area_conocimiento,0,906,0.0
brecha_publindex_sjr,0,906,0.0
categoria_publindex,0,906,0.0
categoria_publindex_ord,0,906,0.0
concentracion_editorial,0,906,0.0
cuartil_sjr_ord,0,906,0.0
departamento,0,906,0.0
editorial_rapida,0,906,0.0
es_colombiana,0,906,0.0
especialidad,0,906,0.0
exencion_apc_lmic,0,906,0.0
gran_area,0,906,0.0
indexada_doaj,0,906,0.0
indice_calidad_costo,0,906,0.0
issn_normalizado,0,906,0.0
municipio,0,906,0.0
oa_diamond,0,906,0.0
pais,0,906,0.0
pais_iso,0,906,0.0
region,0,906,0.0
revision_abierta,0,906,0.0
tipo_institucion_1,0,906,0.0
titulo,0,906,0.0
titulo_normalizado,0,906,0.0
