"TXT_ISSN_P","TXT_ISSN_E","TXT_ISSN_L","NME_REVISTA_IN","NRO_ANO","ID_CLAS_REV","PAIS_REV_IN","REG_REV_IN","DEP_REV_IN","COD_DANE_REV_IN","MUN_REV_IN","ID_AREA_CON","NME_ESPECIALIDAD","NME_AREA","NME_GRAN_AREA","ID_INST_EDIT_1","NME_INST_EDIT_1","TIPO_INS_N1_E1","TIPO_INS_N2_E1","TIPO_INS_N3_E1","TIPO_INS_N4_E1","ID_INST_EDIT_2","NME_INST_EDIT_2","TIPO_INS_N1_E2","TIPO_INS_N2_E2","TIPO_INS_N3_E2","TIPO_INS_N4_E2","ID_INST_EDIT_3","NME_INST_EDIT_3","TIPO_INS_N1_E3","TIPO_INS_N2_E3","TIPO_INS_N3_E3","TIPO_INS_N4_E3","ID_REVISTA_P"
"0124-5376",,"2539-200X","Biota Colombiana","2021.0","B","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","1F16","Otras Biologías","Ciencias Biológicas","Ciencias Naturales","406","INSTITUTO DE INVESTIGACION DE RECURSOS BIOLOGICOS ALEXANDER VON HUMBOLDT","Centros","Centros o institutos de investigación","Público","Autónomo",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","477"
,,"2145-308X","Panorama","2021","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5C","No registra","Ciencias de la Educación","Ciencias Sociales","449","INSTITUCION UNIVERSITARIA POLITECNICO GRANCOLOMBIANO","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1,050"
"2027-5137",,"2322-777X","Historia Y Memoria","2021","B","Colombia","Centro Oriente","Boyacá","15001","Tunja","6A","No registra","Historia y Arqueología","Humanidades","930","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","851"
"0120-0739",,"2256-201X","Colombia Forestal","2021","B","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","4A02","Forestal","Agricultura, Silvicultura y Pesca","Ciencias Agrícolas","968","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","35"
"0122-9761",,,"Boletín De Investigaciones Marinas Y Costeras","2012","A2","Colombia","Caribe","Magdalena","47001","Santa Marta","1E11","Oceanografía, Hidrología y Recursos del Agua","Ciencias de la Tierra y Medioambientales","Ciencias Naturales","88","INSTITUTO DE INVESTIGACIONES MARINAS Y COSTERAS JOSE BENITO VIVES DE ANDREIS INVEMAR","Centros","Centros o institutos de investigación","Público","Autónomo",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","176"
"0034-7418","1909-6356",,"Revista Colombiana De Ciencias Químico Farmacéuticas","2005","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","3A05","Farmacología y Farmacia","Medicina Básica","Ciencias Médicas y de la Salud","956","UNIVERSIDAD NACIONAL DE COLOMBIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","363"
"0121-8123",,,"Revista Colombiana De Reumatología","2008","A2","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","3B28","Otros Temas de Medicina Clínica","Medicina Clínica","Ciencias Médicas y de la Salud","5,903","ASOCIACION COLOMBIANA DE REUMATOLOGIA","Otras","Entidades sin ánimo de lucro","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1,324"
"0120-4688",,,"Praxis Filosófica","2005","C","Colombia","Pacífico","Valle del Cauca","76001","Cali","6E02","Filosofía","Otras Humanidades","Humanidades","512","UNIVERSIDAD DEL VALLE","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","343"
"0123-3432","2145-566X",,"Íkala","2013","A2","Colombia","Eje Cafetero","Antioquia","05001","Medellín","6B06","Lingüística","Idiomas y Literatura","Humanidades","883","UNIVERSIDAD DE ANTIOQUIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","223"
,"1657-9534",,"Colombia Médica","2008","A1","Colombia","Pacífico","Valle del Cauca","76001","Cali","3B27","Medicina General e Interna","Medicina Clínica","Ciencias Médicas y de la Salud","512","UNIVERSIDAD DEL VALLE","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","95"
"0120-5307","2216-0280",,"Investigación Y Educación En Enfermería","2008","A2","Colombia","Eje Cafetero","Antioquia","05001","Medellín","3C03","Enfermería","Ciencias de la Salud","Ciencias Médicas y de la Salud","883","UNIVERSIDAD DE ANTIOQUIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","318"
