Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;21101060255;"Novum Jus";journal;"16926013, 25008692";"Universidad Catolica de Colombia";Yes;Yes;0,914;Q1;10;47;140;2344;197;131;1,38;49,87;36,11;0;Colombia;Latin America;"Universidad Catolica de Colombia";"2019-2025";"Law (Q1); Sociology and Political Science (Q1)";"Social Sciences"
2;21101072371;"Via Inveniendi et Iudicandi";journal;"19090528";"Universidad de Santo Tomas";Yes;Yes;0,640;Q1;7;12;71;525;57;69;0,75;43,75;20,00;0;Colombia;Latin America;"Universidad de Santo Tomas";"2019-2025";"Law (Q1)";"Social Sciences"
3;21100407145;"Investigacion y Educacion en Enfermeria";journal;"22160280, 01205307";"Facultad de Enfermeria de la Universidad de Antioquia";Yes;Yes;0,572;Q1;26;51;143;1554;309;131;1,67;30,47;63,22;0;Colombia;Latin America;"Facultad de Enfermeria de la Universidad de Antioquia";"2012-2025";"Maternity and Midwifery (Q1); Community and Home Care (Q2); Family Practice (Q2); Health (social science) (Q2); Nursing (miscellaneous) (Q2); Geriatrics and Gerontology (Q3)";"Medicine; Nursing; Social Sciences"
4;14730;"Revista Latinoamericana de Psicologia";journal;"01200534";"Konrad Lorenz Editores";Yes;Yes;0,535;Q2;38;7;82;358;123;82;1,38;51,14;39,39;0;Colombia;Latin America;"Konrad Lorenz Editores";"1980, 1984, 1992, 1996-2025";"Psychology (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2)";"Psychology; Social Sciences"
5;21100996939;"Revista Cientifica General Jose Maria Cordova";journal;"19006586, 25007645";"Escuela Militar de Cadetes";Yes;Yes;0,400;Q2;10;45;164;2113;158;150;0,80;46,96;24,36;0;Colombia;Latin America;"Escuela Militar de Cadetes";"2011-2013, 2015-2026";"Law (Q2); Political Science and International Relations (Q2); Public Administration (Q2); Safety Research (Q2); Safety, Risk, Reliability and Quality (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Engineering; Social Sciences"
6;21100886398;"Profile: Issues in Teachers' Professional Development";journal;"16570790, 22565760";"Universidad Nacional de Colombia";Yes;Yes;0,370;Q1;16;26;88;1069;109;82;1,25;41,12;53,33;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2018-2026";"Linguistics and Language (Q1); Education (Q3)";"Social Sciences"
7;21100432126;"Revista Derecho del Estado";journal;"23462051, 01229893";"Universidad Externado de Colombia";Yes;Yes;0,359;Q2;10;39;133;1692;77;129;0,72;43,38;36,96;0;Colombia;Latin America;"Universidad Externado de Colombia";"2015-2026";"Law (Q2)";"Social Sciences"
8;21100200401;"International Journal of Psychological Research";journal;"20117922, 20112084";"Universidad de San Buenaventura";Yes;Yes;0,341;Q3;23;20;69;1042;90;65;1,15;52,10;37,50;0;Colombia;Latin America;"Universidad de San Buenaventura";"2011-2025";"Psychology (miscellaneous) (Q3)";"Psychology"
9;21100940999;"Revista Latinoamericana de Ciencias Sociales, Ninez y Juventud";journal;"20277679, 1692715X";"Revista Latinoamericana de Ciencias Sociales";Yes;Yes;0,340;Q2;11;49;174;2662;152;172;0,75;54,33;58,27;0;Colombia;Latin America;"Revista Latinoamericana de Ciencias Sociales";"2019-2025";"Social Sciences (miscellaneous) (Q2); Developmental and Educational Psychology (Q3)";"Psychology; Social Sciences"
10;21100264819;"Vniversitas";journal;"00419060, 20111711";"Pontificia Universidad Javeriana";Yes;Yes;0,329;Q2;7;25;62;2172;22;61;0,22;86,88;33,33;0;Colombia;Latin America;"Pontificia Universidad Javeriana";"2012-2025";"Law (Q2)";"Social Sciences"
11;19200157116;"Ornitologia Colombiana";journal;"17940915";"Asociacion Colombiana de Ornitologia";No;No;0,329;Q3;12;6;44;125;33;37;0,53;20,83;5,88;0;Colombia;Latin America;"Asociacion Colombiana de Ornitologia";"2009-2013, 2015-2017, 2019-2025";"Animal Science and Zoology (Q3); Ecology, Evolution, Behavior and Systematics (Q3)";"Agricultural and Biological Sciences"
