issn_print,issn_electronic,issn_linking,titulo,anio_clasificacion,categoria_publindex,pais,region,departamento,municipio,codigo_dane,especialidad,area_conocimiento,gran_area,institucion_editora_1,tipo_institucion_1,institucion_editora_2,institucion_editora_3,id_revista_publindex,issn_normalizado,titulo_normalizado,pais_iso,categoria_publindex_ord,_fecha_captura,_version_proceso,_estado_calidad,_hash_registro,rank,sourceid,tipo_publicacion,titulo_normalizado_scimago_dup,editorial,open_access,oa_diamond,sjr_score,cuartil_sjr,cuartil_sjr_ord,h_index,total_docs,total_docs_3y,total_refs,total_citas_3y,docs_citables_3y,citas_por_doc_2y,refs_por_doc,pct_female,overton,cobertura,categorias,areas,url_revista,url,When did the journal start to publish all content using an open license?,titulo_alternativo,issn_impreso,issn_electronico,palabras_clave,idiomas,pais_editorial,Other organisation,Country of other organisation,licencia,atributos_licencia,URL for license terms,cc_legible_maquina,autor_retiene_copyright,Copyright information URL,tipo_revision,Review process information URL,politica_plagio,URL for journal's aims & scope,URL for the Editorial Board page,URL for journal's instructions for authors,semanas_submission_publicacion,tiene_apc,APC information URL,apc_amount_raw,politica_exencion,Waiver policy information URL,tiene_otros_cobros,Other fees information URL,servicios_preservacion,Preservation Service: national library,Preservation information URL,Deposit policy directory,URL for deposit policy,identificadores_persistentes,cumple_oa,Continues,Continued By,codigos_lcc,subscribe_to_open,Mirror Journal,Open Journals Collective,materias,fecha_incorporacion,fecha_actualizacion,Last Full Review Date,num_articulos,fecha_ultimo_articulo,titulo_normalizado_doaj_dup,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_conversion_estado,apc_monto_ppp_usd,apc_monto,apc_moneda,apc_tipo,titulo_normalizado_facts_dup,is_hybrid,titulo_normalizado_openapc_dup,_fuentes,concentracion_editorial,apc_es_outlier,apc_imputado,apc_metodo_imputacion,exencion_apc_lmic,revision_abierta,indexada_doaj,es_colombiana,brecha_publindex_sjr,contraste_publindex_cuartil,semanas_pub,editorial_rapida,ratio_citas_docs,indice_calidad_costo,apc_monto_usd_zscore,sjr_score_zscore,h_index_zscore,semanas_pub_zscore,apc_monto_usd_minmax,sjr_score_minmax,h_index_minmax,semanas_pub_minmax
2215-7727,2215-7727,2215-7727,Cuadernos De Desarrollo Rural,2022,C,Colombia,Distrito Capital,"Bogotá, D. C.","Bogotá, D.C.",11001,No registra,Sociología,Ciencias Sociales,PONTIFICIA UNIVERSIDAD JAVERIANA,IES,,,353,2215-7727,desarrollo rural,CO,1,2026-09-15,1.0.0,consolidado,d4061d9f812c632f,96,19500157818,journal,,Pontificia Universidad Javeriana,True,True,0.152,Q4,1,16,7,28,319,13,28,0.27,45.57,0.2778,0,2008-2025,"Agronomy and Crop Science (Q4); Economics and Econometrics (Q4); Geography, Planning and Development (Q4)","Agricultural and Biological Sciences; Economics, Econometrics and Finance; Social Sciences",https://lljournal.commons.gc.cuny.edu/,https://doaj.org/toc/fbfecba83adc45448e1ccdef1bd97e2b,2005,,,1930-1693,"film studies, gender studies, latino studies, linguistics, iberian literature and culture, latin american literature and culture","Spanish, Portuguese, English",United States,"The Graduate Center, The City University of New York",,CC BY-NC,,https://lljournal.commons.gc.cuny.edu/aviso-de-derechos-de-autor/,,False,,Peer review,https://lljournal.commons.gc.cuny.edu/proceso-revision-pares/,False,https://lljournal.commons.gc.cuny.edu/enfoque-y-alcance/,https://lljournal.commons.gc.cuny.edu/consejo-de-redaccion/,https://lljournal.commons.gc.cuny.edu/directrices-es/,8,False,https://lljournal.commons.gc.cuny.edu/aviso-de-derechos-de-autor/,,False,,False,,,,,,,,True,,,PQ1-3999,False,No,No,Language and Literature: French literature - Italian literature - Spanish literature - Portuguese literature,2018-12-18T01:46:59Z,2023-03-21T08:07:56Z,2023-03-21,41,2026-04-02T18:32:50Z,,1783.67,EUR,1926.36,1.08,sin_monto,5069.37,1783.67,EUR,observado,,True,,"['doaj', 'facts', 'openapc', 'publindex', 'scimago']",0.033112582781456956,False,False,,True,False,True,True,0,1.0,8,True,0.4642857142857143,0.134,0.6901,-0.1242,1.1056,-0.9562,0.3427,0.0639,0.35,0.0465
1657-9267,2011-2777,,Universitas Psychologica,2022,B,Colombia,Distrito Capital,"Bogotá, D. C.","Bogotá, D.C.",11001,No registra,Psicología,Ciencias Sociales,PONTIFICIA UNIVERSIDAD JAVERIANA,IES,,,503,1657-9267,universitas psychologica,CO,2,2026-09-15,1.0.0,consolidado,ebeb724d695f41f0,108,7500153128,journal,universitas psychologica,Pontificia Universidad Javeriana,True,True,0.146,Q4,1,37,28,77,1691,32,77,0.21,60.39,0.4474,0,2007-2026,Psychology (miscellaneous) (Q4); Social Psychology (Q4),Psychology,https://impactum-journals.uc.pt/psychologica/index,https://doaj.org/toc/27abadbedbf7489f93d3e1c52c3c4594,2009,,0871-4657,1647-8606,"social sciences, social psychology, psychology, psychology of education","English, Portuguese",Portugal,"University of Coimbra, Faculty of Psychology and Education Sciences",,CC BY,,https://impactum-journals.uc.pt/psychologica/index,,True,https://impactum-journals.uc.pt/psychologica/about/submissions,Anonymous peer review,https://impactum-journals.uc.pt/psychologica/about,False,https://impactum-journals.uc.pt/psychologica/about,https://impactum-journals.uc.pt/psychologica/about/editorialTeam,https://impactum-journals.uc.pt/psychologica/about/submissions,50,False,https://impactum-journals.uc.pt/psychologica/about,,False,,False,https://impactum-journals.uc.pt/psychologica/about,,,https://impactum-journals.uc.pt/psychologica/about,,,DOI,True,,,BF1-990,False,No,No,Philosophy. Psychology. Religion: Psychology,2019-06-04T23:33:02Z,2020-05-16T14:33:41Z,2020-05-16,336,2026-07-06T09:02:27Z,,2323.34,EUR,2509.21,1.08,sin_monto,6603.18,1557.92,EUR,observado,,True,,"['doaj', 'facts', 'openapc', 'publindex', 'scimago']",0.033112582781456956,False,False,,True,False,True,True,1,2.0,50,False,0.4155844155844156,0.1043,1.3922,-0.2013,4.0682,2.6052,0.4473,0.0565,0.875,0.5349
0124-0781,,2590-8669,Reflexión Política,2022,C,Colombia,Centro Oriente,Santander,Bucaramanga,68001,Ciencias Políticas,Ciencias Políticas,Ciencias Sociales,UNIVERSIDAD AUTONOMA DE BUCARAMANGA,IES,,,"1,146",2590-8669,reflexion politica,CO,1,2026-09-15,1.0.0,consolidado,b617529392e3a4c3,164,21101145379,journal,,Technological University of Pereira,False,False,0.101,Q4,1,3,23,57,1014,4,52,0.08,44.09,0.23079999999999998,0,2019-2025,History (Q4); Political Science and International Relations (Q4),Arts and Humanities; Social Sciences,https://revistapolitica.uchile.cl/index.php/RP,https://doaj.org/toc/da5454056a0742baa5ae89b4bd03b29f,2011,Política: Revista de Ciencia Política,0716-1077,0719-5338,"political science, international relations, political sociology, latin america, public policy, political economy","Portuguese, English, Spanish",Chile,,,CC BY-SA,,https://revistapolitica.uchile.cl/index.php/RP/copyright,,True,https://revistapolitica.uchile.cl/index.php/RP/copyright,Double anonymous peer review,https://revistapolitica.uchile.cl/index.php/RP/politicas,True,https://revistapolitica.uchile.cl/index.php/RP/about,https://revistapolitica.uchile.cl/index.php/RP/about/editorialTeam,https://revistapolitica.uchile.cl/index.php/RP/about/submissions,25,False,https://revistapolitica.uchile.cl/index.php/RP/acceso,,False,,False,,,,,,,DOI,True,,,JA1-92,False,No,No,Political science: Political science (General),2024-05-29T07:00:43Z,2024-05-29T07:00:43Z,2024-05-29,0,,,2443.03,EUR,2638.47,1.08,sin_monto,6943.34,2331.51,EUR,observado,,True,,"['doaj', 'facts', 'openapc', 'publindex', 'scimago']",0.02869757174392936,False,False,,True,False,True,True,0,1.0,25,False,0.07017543859649122,0.0692,1.5479,-0.7791,-0.7284,0.4853,0.4704,0.0012,0.025,0.2442
1794-8231,,2462-8794,Ecomatematico,2022,C,Colombia,Centro Oriente,Norte de Santander,Cúcuta,54001,Matemáticas Aplicadas,Matemática,Ciencias Naturales,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,IES,,,539,2462-8794,ecomatematico,CO,1,2026-09-15,1.0.0,consolidado,b0a261c40b7d6d45,,,,,Universidad Francisco de Paula Santander,,False,,,0,,,,,,,,,,,,,,https://revistas.ufps.edu.co/index.php/ecomatematico,https://doaj.org/toc/126beac3bb124335a314263d102c207e,2010,,1794-8231,,"education, mathematics",Spanish,Colombia,Universidad Francisco de Paula Santander,,CC BY,,http://revistas.ufps.edu.co/ojs/index.php/ecomatematico/about/editorialPolicies#custom-2,,False,,Double anonymous peer review,http://revistas.ufps.edu.co/ojs/index.php/ecomatematico/about/editorialPolicies#peerReviewProcess,True,http://revistas.ufps.edu.co/ojs/index.php/ecomatematico/about/editorialPolicies#focusAndScope,http://revistas.ufps.edu.co/ojs/index.php/ecomatematico/about/editorialPolicies#custom-3,http://revistas.ufps.edu.co/ojs/index.php/ecomatematico/about/submissions#authorGuidelines,12,False,http://revistas.ufps.edu.co/ojs/index.php/ecomatematico/about/editorialPolicies#openAccessPolicy,,False,,False,,,,,,,,True,,,LC8-6691|QA1-939,False,No,No,Education: Special aspects of education | Science: Mathematics,2017-11-02T21:02:49Z,2021-11-02T08:21:20Z,2021-11-02,215,2025-07-09T14:29:00Z,,2826.34,EUR,3052.45,1.08,sin_monto,8032.76,2182.8,EUR,observado,,False,,"['doaj', 'facts', 'openapc', 'publindex']",0.002207505518763797,False,False,,True,False,True,True,1,,12,True,,0.0607,2.0466,,,-0.617,0.5447,,,0.093
,,2027-5846,Ingenierias Usbmed,2022,C,Colombia,Eje Cafetero,Antioquia,Medellín,05001,No registra,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD DE SAN BUENAVENTURA,IES,,,"1,121",2027-5846,ingenierias usbmed,CO,1,2026-09-15,1.0.0,consolidado,5415f1dd58311ab9,,,,,Universidad de San Buenaventura,,False,,,0,,,,,,,,,,,,,,http://revistas.usb.edu.co/index.php/IngUSBmed,https://doaj.org/toc/04235659f10b4a3e949a85ce86b6e729,2010,Ingenierias USBMed,2027-5846,,"technology, engineering, biomedical research, software engineering, computer science, data science",Spanish,Colombia,,,CC BY-NC-ND,,https://revistas.usb.edu.co/index.php/IngUSBmed/about/submissions,True,False,https://revistas.usb.edu.co/index.php/IngUSBmed/about/submissions,Double anonymous peer review,https://revistas.usb.edu.co/index.php/IngUSBmed/about,True,https://revistas.usb.edu.co/index.php/IngUSBmed/about,http://revistas.usb.edu.co/index.php/IngUSBmed/about/editorialTeam,http://revistas.usb.edu.co/index.php/IngUSBmed/about/submissions#authorGuidelines,16,False,https://revistas.usb.edu.co/index.php/IngUSBmed/about/submissions#authorGuidelines,,False,,False,,,,,,,DOI,True,,,T|TA1-2040,False,No,No,Technology: Engineering (General). Civil engineering (General),2012-01-23T13:52:39Z,2025-05-05T09:47:48Z,2025-05-05,243,2026-05-20T14:18:09Z,ingenierias usbmed,5176.12,EUR,5590.21,1.08,sin_monto,14711.08,5176.12,EUR,observado,,True,,"['doaj', 'facts', 'publindex']",0.004415011037527594,True,False,,True,False,True,True,1,,16,False,,0.0356,5.1036,,,-0.2778,1.0,,,0.1395
0120-7555,0120-7555,2346-206X,Turismo Y Sociedad,2022,C,Colombia,Distrito Capital,"Bogotá, D. C.","Bogotá, D.C.",11001,No registra,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD EXTERNADO DE COLOMBIA,IES,,,732,2346-206X,turismo sociedad,CO,1,2026-09-15,1.0.0,consolidado,7bcc93e2d1c30300,113,21101216647,journal,turismo sociedad,Universidad Externado de Colombia,True,True,0.144,Q4,1,7,25,91,1351,38,88,0.34,54.04,0.434,0,2020-2026,"Geography, Planning and Development (Q4); Tourism, Leisure and Hospitality Management (Q4)","Business, Management and Accounting; Social Sciences",https://revistasinvestigacion.esic.edu/adresearch,https://doaj.org/toc/58c2c8165f3e4a06a2930ed61453fa10,2010,aDresearch ESIC: International Journal of Research in Communication,,2340-3144,"communication, new media, marketing, public relations, strategy, branding","English, Spanish",Spain,,,CC BY-NC-ND,,https://revistasinvestigacion.esic.edu/adresearch/index.php/adresearch/accesoabierto,True,False,https://revistasinvestigacion.esic.edu/adresearch/index.php/adresearch/accesoabierto,Double anonymous peer review,https://revistasinvestigacion.esic.edu/adresearch/index.php/adresearch/revision,True,https://revistasinvestigacion.esic.edu/adresearch/index.php/adresearch/about,https://revistasinvestigacion.esic.edu/adresearch/index.php/adresearch/about/editorialTeam,https://revistasinvestigacion.esic.edu/adresearch/index.php/adresearch/about/submissions,24,False,https://revistasinvestigacion.esic.edu/adresearch/index.php/adresearch/about/submissions,,False,,False,,,,,,,DOI,True,,,H|P87-96,False,No,No,Social Sciences | Language and Literature: Philology. Linguistics: Communication. Mass media,2022-04-19T13:31:45Z,2022-04-19T13:31:45Z,2022-04-19,260,2026-06-29T23:00:07Z,,1996.61,EUR,2156.34,1.08,sin_monto,5674.58,1872.1,EUR,observado,,True,,"['doaj', 'facts', 'openapc', 'publindex', 'scimago']",0.009933774834437087,False,False,,True,False,True,True,0,1.0,24,False,0.4175824175824176,0.1162,0.9671,-0.2269,-0.1641,0.4005,0.3839,0.0541,0.125,0.2326
0120-0488,1657-0448,2665-4385,Revista Colombiana De Entomología,2022,C,Colombia,Distrito Capital,"Bogotá, D. C.","Bogotá, D.C.",11001,Otras Ciencias Agrícolas,Otras Ciencias Agrícolas,Ciencias Agrícolas,SOCIEDAD COLOMBIANA DE ENTOMOLOGIA,Otras,UNIVERSIDAD DEL VALLE,,101,2665-4385,colombiana entomologia,CO,1,2026-09-15,1.0.0,consolidado,ecd809138bfe29fd,163,21101259010,journal,,Universidade Federal de Sergipe,True,True,0.105,Q4,1,2,58,123,889,5,91,0.06,15.33,0.5539999999999999,0,2020-2026,Dermatology (Q4); Surgery (Q4),Medicine,https://periodicos.ufs.br/tomo/index,https://doaj.org/toc/eab22d0177e54bf98f5e88e957cad4e4,1998,,2318-9010,1517-4549,"sociology, social sciences, antrophology, political science","Portuguese, Spanish, English",Brazil,"Universidade Federal de Sergipe, Programa de Pós-Graduação em Sociologia",,CC BY,,https://periodicos.ufs.br/tomo/about,,True,https://periodicos.ufs.br/tomo/about,Peer review,https://periodicos.ufs.br/tomo/about,True,https://periodicos.ufs.br/tomo/about,https://periodicos.ufs.br/tomo/about/editorialTeam,https://periodicos.ufs.br/tomo/about/submissions,24,False,https://periodicos.ufs.br/tomo/about,,False,,False,,,,,,,DOI,True,,,H|H1-99,False,No,No,Social Sciences: Social sciences (General),2015-12-21T21:19:29Z,2024-03-31T09:00:14Z,2024-03-31,566,2026-08-04T19:20:45Z,,2400.0,EUR,2592.0,1.08,sin_monto,6821.05,2400.0,EUR,observado,,True,,"['doaj', 'facts', 'openapc', 'publindex', 'scimago']",0.0011037527593818985,False,False,,True,False,True,True,0,1.0,24,False,0.04065040650406504,0.073,1.4919,-0.7278,-0.8695,0.4005,0.4621,0.0061,0.0,0.2326
0124-2121,0124-2121,2665-2420,Educacion Y Humanismo,2022,B,Colombia,Caribe,Atlántico,Barranquilla,08001,"Educación General (Incluye Capacitación, Pedagogía)",Ciencias de la Educación,Ciencias Sociales,UNIVERSIDAD SIMON BOLIVAR,IES,,,428,2665-2420,educacion humanismo,CO,2,2026-09-15,1.0.0,consolidado,e7c730dbcd04dbd2,122,21101128566,journal,educacion humanismo,Simon Bolivar University (Barranquilla),True,True,0.137,Q3,2,4,26,69,1274,29,67,0.32,49.0,0.4167,0,2022-2026,Cultural Studies (Q3); History and Philosophy of Science (Q3); Education (Q4); Gender Studies (Q4),Arts and Humanities; Social Sciences,https://fh.mdp.edu.ar/revistas/index.php/r_educ,https://doaj.org/toc/7ea52ed84fda4fa586ee5f3a55f33944,2010,,1853-1318,1853-1326,"education, teacher training, didactics, teaching",Spanish,Argentina,"Universidad Nacional de Mar del Plata, Facultad de Humanidades, Centro de Investigaciones multidisciplinarias en Educación",,CC BY-NC-SA,,https://fh.mdp.edu.ar/revistas/index.php/r_educ/about/submissions#copyrightNotice,,True,https://fh.mdp.edu.ar/revistas/index.php/r_educ/about/submissions#copyrightNotice,Double anonymous peer review,https://fh.mdp.edu.ar/revistas/index.php/r_educ/about/editorialPolicies#peerReviewProcess,True,https://fh.mdp.edu.ar/revistas/index.php/r_educ/about/editorialPolicies#focusAndScope,https://fh.mdp.edu.ar/revistas/index.php/r_educ/about/editorialTeam,https://fh.mdp.edu.ar/revistas/index.php/r_educ/about/submissions#authorGuidelines,8,False,https://fh.mdp.edu.ar/revistas/index.php/r_educ/about/submissions#authorGuidelines,,False,,False,https://fh.mdp.edu.ar/revistas/index.php/r_educ/about/submissions#authorGuidelines,,,,,,,True,,,L7-991|LC8-6691|LB5-3640,False,No,No,Education: Education (General) | Education: Special aspects of education | Education: Theory and practice of education,2020-08-14T14:13:13Z,2020-08-14T14:13:13Z,2020-08-14,0,,,2618.0,EUR,2827.44,1.08,sin_monto,7440.63,1872.1,EUR,observado,,True,,"['doaj', 'facts', 'openapc', 'publindex', 'scimago']",0.0033112582781456954,False,False,,True,False,True,True,0,1.0,8,True,0.42028985507246375,0.0887,1.7755,-0.3168,-0.5873,-0.9562,0.5043,0.0455,0.05,0.0465
0123-5362,0123-5362,,Revista De Economía Del Rosario,2022,C,Colombia,Distrito Capital,"Bogotá, D. C.","Bogotá, D.C.",11001,No registra,Economía y Negocios,Ciencias Sociales,,No disponible,,,58,0123-5362,economia rosario,CO,1,2026-09-15,1.0.0,consolidado,abf23d12905514fc,161,7600153109,journal,,Universidad del Rosario,True,True,0.111,Q4,1,9,0,28,0,8,28,0.26,0.0,0.0,0,2007-2024,"Economics, Econometrics and Finance (miscellaneous) (Q4)","Economics, Econometrics and Finance",http://revistas.urosario.edu.co/index.php/economia/index,https://doaj.org/toc/1e0204d5fddf41279b7ef939e4861eab,1998,,,2145-454X,"economy, policy implications","English, Spanish",Colombia,,,CC BY-NC,,https://revistas.urosario.edu.co/index.php/economia/about,,True,https://revistas.urosario.edu.co/index.php/economia/about/submissions,Double anonymous peer review,https://revistas.urosario.edu.co/index.php/economia/about,False,https://revistas.urosario.edu.co/index.php/economia/about,https://revistas.urosario.edu.co/index.php/economia/about/editorialTeam,https://revistas.urosario.edu.co/index.php/economia/about/submissions,12,False,http://revistas.urosario.edu.co/index.php/index,,False,,False,,PKP PN,,https://portal.issn.org/resource/ISSN/2145-454X,Open Policy Finder,https://openpolicyfinder.jisc.ac.uk/id/publication/37592,DOI,True,,,HB71-74,False,No,No,Social Sciences: Economic theory. Demography: Economics as a science,2015-10-27T12:28:45Z,2024-07-19T19:20:16Z,2024-07-19,250,2026-08-12T20:31:37Z,,204.92,EUR,221.31,1.08,sin_monto,582.39,204.92,EUR,observado,,False,,"['doaj', 'facts', 'openapc', 'publindex', 'scimago']",0.01545253863134658,False,False,,True,False,True,True,0,1.0,12,True,0.2857142857142857,0.3117,-1.3638,-0.6507,0.1181,-0.617,0.0368,0.0135,0.175,0.093
0121-8417,,2357-4720,Revista Historia Y Sociedad,2022,C,Colombia,Eje Cafetero,Antioquia,Medellín,05001,Historia,Historia y Arqueología,Humanidades,UNIVERSIDAD NACIONAL DE COLOMBIA,IES,,,"1,080",2357-4720,historia sociedad,CO,1,2026-09-15,1.0.0,consolidado,e59c2b779b43ba98,164,21101145379,journal,,Technological University of Pereira,False,False,0.101,Q4,1,3,23,57,1014,4,52,0.08,44.09,0.23079999999999998,0,2019-2025,History (Q4); Political Science and International Relations (Q4),Arts and Humanities; Social Sciences,http://www.revistas.una.ac.cr/historia,https://doaj.org/toc/fbee54fd818c4dee805478f8807e30a5,1985,,1012-9790,2215-4744,"history, historiography, costa rican history, central american history, latin american history",Spanish,Costa Rica,"Universidad Nacional, Costa Rica",,CC BY-NC-SA,,http://www.revistas.una.ac.cr/index.php/historia/noticeofcopyright,,False,,Double anonymous peer review,http://www.revistas.una.ac.cr/index.php/historia/arbitrationsystem,True,http://www.revistas.una.ac.cr/index.php/historia/approachandscope,http://www.revistas.una.ac.cr/index.php/historia/about/editorialTeam,http://www.revistas.una.ac.cr/index.php/historia/guidelinesforauthors,8,False,http://www.revistas.una.ac.cr/index.php/historia/policies,,False,,False,,,,,,,,True,,,D1-2009|F1201-3799|BT1313-1480,False,No,No,History (General) and history of Europe: History (General) | History America: Latin America. Spanish America | Philosophy. Psychology. Religion: Doctrinal Theology: History of specific doctrines and movements. Heresies and schisms,2019-04-25T00:54:35Z,2022-09-26T12:59:42Z,2022-09-26,731,2024-10-27T19:12:28Z,,1116.0,EUR,1205.28,1.08,sin_monto,3171.79,1116.0,EUR,observado,,True,,"['doaj', 'facts', 'openapc', 'publindex', 'scimago']",0.02869757174392936,False,False,,True,False,True,True,0,1.0,8,True,0.07017543859649122,0.1255,-0.1785,-0.7791,-0.7284,-0.9562,0.2133,0.0012,0.025,0.0465
