issn_fisico,issn_virtual,issn_normalizado,texto_espanol,texto_ingles,tokens_espanol,tokens_ingles,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_monto_ppp_usd,apc_tipo,apc_real_disponible,cuartil_sjr_ord,h_index,total_docs,total_docs_3y,total_refs,total_citas_3y,docs_citables_3y,citas_por_doc_2y,refs_por_doc,pct_female,fecha_incorporacion,fecha_actualizacion,Last Full Review Date,num_articulos,semanas_pub,ratio_citas_docs,indice_calidad_costo,apc_monto_usd_zscore,sjr_score_zscore,h_index_zscore,semanas_pub_zscore,apc_monto_usd_minmax,sjr_score_minmax,h_index_minmax,semanas_pub_minmax
2215-7727,2215-7727,2215-7727,sociologia ciencias sociales c q4 desarrollo latino italian portuguese,agronomy crop science economics econometrics geography planning development agricultural biological sciences finance social rural film gender linguistics iberian literature culture latin american language french spanish,9,25,1783.67,EUR,1926.36,1.08,5069.37,observado,True,1,16,7,28,319,13,28,0.27,45.57,0.2778,2018-12-18T01:46:59Z,2023-03-21T08:07:56Z,2023-03-21,41,8,0.4642857142857143,0.47221996518291504,0.6901,-0.1242,1.1056,-0.9562,0.3427,0.0639,0.35,0.0465
1657-9267,2011-2777,1657-9267,psicologia ciencias sociales b q4 universitas social,psychology miscellaneous social psychologica sciences education philosophy religion,7,8,2323.34,EUR,2509.21,1.08,6603.18,observado,True,1,37,28,77,1691,32,77,0.21,60.39,0.4474,2019-06-04T23:33:02Z,2020-05-16T14:33:41Z,2020-05-16,336,50,0.4155844155844156,0.4114077105005369,1.3922,-0.2013,4.0682,2.6052,0.4473,0.0565,0.875,0.5349
0124-0781,0719-5338,2590-8669,ciencias politicas sociales c q4 reflexion ciencia general,history political science relations arts humanities social sciences politica sociology latin america public policy economy,8,15,2443.03,EUR,2638.47,1.08,6943.34,observado,True,1,3,23,57,1014,4,52,0.08,44.09,0.23079999999999998,2024-05-29T07:00:43Z,2024-05-29T07:00:43Z,2024-05-29,0,25,0.07017543859649122,0.3213851745974798,1.5479,-0.7791,-0.7284,0.4853,0.4704,0.0012,0.025,0.2442
1794-8231,,2462-8794,matematicas aplicadas matematica ciencias naturales c ecomatematico,education mathematics special aspects science,7,5,2826.34,EUR,3052.45,1.08,8032.76,observado,True,0,,,,,,,,,,2017-11-02T21:02:49Z,2021-11-02T08:21:20Z,2021-11-02,215,12,,0.3965471409967377,2.0466,,,-0.617,0.5447,,,0.093
2027-5846,,2027-5846,otras ingenierias tecnologias ingenieria tecnologia c data general civil,usbmed technology engineering biomedical software computer science,9,7,5176.12,EUR,5590.21,1.08,14711.08,observado,True,0,,,,,,,,,,2012-01-23T13:52:39Z,2025-05-05T09:47:48Z,2025-05-05,243,16,,0.3031200920324692,5.1036,,,-0.2778,1.0,,,0.1395
0120-7555,0120-7555,2346-206X,economia negocios ciencias sociales c q4 turismo sociedad esic media social,geography planning development tourism leisure hospitality management business accounting social sciences adresearch communication new marketing public relations strategy branding language literature philology linguistics mass,11,24,1996.61,EUR,2156.34,1.08,5674.58,observado,True,1,7,25,91,1351,38,88,0.34,54.04,0.434,2022-04-19T13:31:45Z,2022-04-19T13:31:45Z,2022-04-19,260,24,0.4175824175824176,0.34474979778030335,0.9671,-0.2269,-0.1641,0.4005,0.3839,0.0541,0.125,0.2326
0120-0488,1657-0448,2665-4385,otras ciencias agricolas c q4 colombiana entomologia social general,dermatology surgery medicine sociology sciences antrophology political science,9,8,2400.0,EUR,2592.0,1.08,6821.05,observado,True,1,2,58,123,889,5,91,0.06,15.33,0.5539999999999999,2015-12-21T21:19:29Z,2024-03-31T09:00:14Z,2024-03-31,566,24,0.04065040650406504,0.31741222160147914,1.4919,-0.7278,-0.8695,0.4005,0.4621,0.0061,0.0,0.2326
0124-2121,0124-2121,2665-2420,educacion general incluye capacitacion pedagogia ciencias sociales b q3 q4 humanismo,cultural history philosophy science education gender arts humanities social sciences teacher training didactics teaching special aspects theory practice,11,18,2618.0,EUR,2827.44,1.08,7440.63,observado,True,2,4,26,69,1274,29,67,0.32,49.0,0.4167,2020-08-14T14:13:13Z,2020-08-14T14:13:13Z,2020-08-14,0,8,0.42028985507246375,0.45522515402733593,1.7755,-0.3168,-0.5873,-0.9562,0.5043,0.0455,0.05,0.0465
0123-5362,0123-5362,0123-5362,economia negocios ciencias sociales c q4 rosario social as,economics econometrics finance miscellaneous economy policy implications sciences economic theory demography science,9,12,204.92,EUR,221.31,1.08,582.39,observado,True,1,9,0,28,0,8,28,0.26,0.0,0.0,2015-10-27T12:28:45Z,2024-07-19T19:20:16Z,2024-07-19,250,12,0.2857142857142857,0.4577511990241968,-1.3638,-0.6507,0.1181,-0.617,0.0368,0.0135,0.175,0.093
0121-8417,2215-4744,2357-4720,historia arqueologia humanidades c q4 sociedad costa central general europe doctrinal,history political science relations arts humanities social sciences historiography rican american latin america spanish philosophy psychology religion theology specific doctrines movements heresies schisms,11,23,1116.0,EUR,1205.28,1.08,3171.79,observado,True,1,3,23,57,1014,4,52,0.08,44.09,0.23079999999999998,2019-04-25T00:54:35Z,2022-09-26T12:59:42Z,2022-09-26,731,8,0.07017543859649122,0.4330724767084365,-0.1785,-0.7791,-0.7284,-0.9562,0.2133,0.0012,0.025,0.0465
1794-8932,2183-9468,2346-0806,ciencias educacion sociales b visual,sophia architecture city image art practice photography fine arts,5,9,1294.3,EUR,1397.84,1.08,3678.53,observado,True,0,,,,,,,,,,2022-04-04T12:30:07Z,2022-10-13T16:55:40Z,2022-10-13,0,24,,0.3304511345860856,0.0534,,,0.4005,0.2479,,,0.2326
