issn_normalizado,titulo,titulo_normalizado,pais_iso,gran_area,fila_gold,apc_tipo,apc_monto_usd,apc_monto_ppp_usd,apc_imputado,apc_es_outlier,faltan_campos_apc,faltan_campos_todos
0034-7450,Revista Colombiana De Psiquiatría,colombiana psiquiatria,CO,Ciencias Médicas y de la Salud,2,imputado,1291.99,3399.97,True,False,"apc_monto, apc_moneda","issn_linking, institucion_editora_2, institucion_editora_3, titulo_normalizado_scimago_dup, titulo_alternativo, issn_impreso, Country of other organisation, atributos_licencia, apc_amount_raw, Waiver policy information URL, Other fees information URL, servicios_preservacion, Preservation Service: national library, Preservation information URL, Deposit policy directory, URL for deposit policy, identificadores_persistentes, Continues, Continued By, titulo_normalizado_doaj_dup, apc_monto_original, apc_moneda_original, tasa_usd_utilizada, apc_monto, apc_moneda, titulo_normalizado_facts_dup, is_hybrid, titulo_normalizado_openapc_dup"
2539-3669,GESTIÓN Y DESARROLLO LIBRE,gestion desarrollo libre,CO,Ciencias Sociales,3,imputado,899.89,2368.13,True,False,"apc_monto, apc_moneda","institucion_editora_2, institucion_editora_3, titulo_normalizado_scimago_dup, titulo_alternativo, issn_impreso, Country of other organisation, atributos_licencia, cc_legible_maquina, Copyright information URL, apc_amount_raw, Waiver policy information URL, servicios_preservacion, Preservation Service: national library, Preservation information URL, Deposit policy directory, URL for deposit policy, Continues, Continued By, titulo_normalizado_doaj_dup, apc_monto_original, apc_moneda_original, tasa_usd_utilizada, apc_monto, apc_moneda, titulo_normalizado_facts_dup, is_hybrid, titulo_normalizado_openapc_dup"
2215-7727,Cuadernos De Desarrollo Rural,desarrollo rural,CO,Ciencias Sociales,4,observado,1926.36,5069.37,False,False,apc_metodo_imputacion,"institucion_editora_2, institucion_editora_3, titulo_normalizado_scimago_dup, titulo_alternativo, issn_impreso, Country of other organisation, atributos_licencia, cc_legible_maquina, Copyright information URL, apc_amount_raw, Waiver policy information URL, Other fees information URL, servicios_preservacion, Preservation Service: national library, Preservation information URL, Deposit policy directory, URL for deposit policy, identificadores_persistentes, Continues, Continued By, titulo_normalizado_doaj_dup, titulo_normalizado_facts_dup, titulo_normalizado_openapc_dup, apc_metodo_imputacion"
2590-4566,Justicia,justicia,CO,Ciencias Sociales,5,imputado,851.29,2240.24,True,False,"apc_monto, apc_moneda","institucion_editora_2, institucion_editora_3, titulo_alternativo, atributos_licencia, apc_amount_raw, Waiver policy information URL, Other fees information URL, servicios_preservacion, Preservation Service: national library, Preservation information URL, Deposit policy directory, URL for deposit policy, identificadores_persistentes, Continues, Continued By, fecha_ultimo_articulo, titulo_normalizado_doaj_dup, apc_monto_original, apc_moneda_original, tasa_usd_utilizada, apc_monto, apc_moneda, titulo_normalizado_facts_dup, is_hybrid, titulo_normalizado_openapc_dup"
1657-9267,Universitas Psychologica,universitas psychologica,CO,Ciencias Sociales,6,observado,2509.21,6603.18,False,False,apc_metodo_imputacion,"issn_linking, institucion_editora_2, institucion_editora_3, titulo_alternativo, Country of other organisation, atributos_licencia, cc_legible_maquina, apc_amount_raw, Waiver policy information URL, servicios_preservacion, Preservation Service: national library, Deposit policy directory, URL for deposit policy, Continues, Continued By, titulo_normalizado_doaj_dup, titulo_normalizado_facts_dup, titulo_normalizado_openapc_dup, apc_metodo_imputacion"
2590-8669,Reflexión Política,reflexion politica,CO,Ciencias Sociales,7,observado,2638.47,6943.34,False,False,apc_metodo_imputacion,"issn_electronic, institucion_editora_2, institucion_editora_3, titulo_normalizado_scimago_dup, Other organisation, Country of other organisation, atributos_licencia, cc_legible_maquina, apc_amount_raw, Waiver policy information URL, Other fees information URL, servicios_preservacion, Preservation Service: national library, Preservation information URL, Deposit policy directory, URL for deposit policy, Continues, Continued By, fecha_ultimo_articulo, titulo_normalizado_doaj_dup, titulo_normalizado_facts_dup, titulo_normalizado_openapc_dup, apc_metodo_imputacion"
2462-8794,Ecomatematico,ecomatematico,CO,Ciencias Naturales,8,observado,3052.45,8032.76,False,False,apc_metodo_imputacion,"issn_electronic, institucion_editora_2, institucion_editora_3, rank, sourceid, tipo_publicacion, titulo_normalizado_scimago_dup, open_access, sjr_score, cuartil_sjr, h_index, total_docs, total_docs_3y, total_refs, total_citas_3y, docs_citables_3y, citas_por_doc_2y, refs_por_doc, pct_female, overton, cobertura, categorias, areas, titulo_alternativo, issn_electronico, Country of other organisation, atributos_licencia, cc_legible_maquina, Copyright information URL, apc_amount_raw, Waiver policy information URL, Other fees information URL, servicios_preservacion, Preservation Service: national library, Preservation information URL, Deposit policy directory, URL for deposit policy, identificadores_persistentes, Continues, Continued By, titulo_normalizado_doaj_dup, titulo_normalizado_facts_dup, titulo_normalizado_openapc_dup, apc_metodo_imputacion, contraste_publindex_cuartil, ratio_citas_docs, sjr_score_zscore, h_index_zscore, sjr_score_minmax, h_index_minmax"
2500-7769,Amauta,amauta,CO,Humanidades,9,imputado,645.38,1698.37,True,False,"apc_monto, apc_moneda","issn_electronic, institucion_editora_2, institucion_editora_3, rank, sourceid, tipo_publicacion, titulo_normalizado_scimago_dup, editorial, open_access, sjr_score, cuartil_sjr, h_index, total_docs, total_docs_3y, total_refs, total_citas_3y, docs_citables_3y, citas_por_doc_2y, refs_por_doc, pct_female, overton, cobertura, categorias, areas, url_revista, url, When did the journal start to publish all content using an open license?, titulo_alternativo, issn_impreso, issn_electronico, palabras_clave, idiomas, pais_editorial, Other organisation, Country of other organisation, licencia, atributos_licencia, URL for license terms, cc_legible_maquina, autor_retiene_copyright, Copyright information URL, tipo_revision, Review process information URL, politica_plagio, URL for journal's aims & scope, URL for the Editorial Board page, URL for journal's instructions for authors, semanas_submission_publicacion, tiene_apc, APC information URL, apc_amount_raw, politica_exencion, Waiver policy information URL, tiene_otros_cobros, Other fees information URL, servicios_preservacion, Preservation Service: national library, Preservation information URL, Deposit policy directory, URL for deposit policy, identificadores_persistentes, cumple_oa, Continues, Continued By, codigos_lcc, subscribe_to_open, Mirror Journal, Open Journals Collective, materias, fecha_incorporacion, fecha_actualizacion, Last Full Review Date, num_articulos, fecha_ultimo_articulo, titulo_normalizado_doaj_dup, apc_monto_original, apc_moneda_original, tasa_usd_utilizada, apc_conversion_estado, apc_monto, apc_moneda, titulo_normalizado_facts_dup, is_hybrid, titulo_normalizado_openapc_dup, contraste_publindex_cuartil, semanas_pub, editorial_rapida, ratio_citas_docs, sjr_score_zscore, h_index_zscore, semanas_pub_zscore, sjr_score_minmax, h_index_minmax, semanas_pub_minmax"
2027-5374,Aquichan,aquichan,CO,Ciencias Médicas y de la Salud,10,imputado,1275.73,3357.18,True,False,"apc_monto, apc_moneda","issn_electronic, institucion_editora_2, institucion_editora_3, rank, sourceid, tipo_publicacion, titulo_normalizado_scimago_dup, open_access, sjr_score, cuartil_sjr, h_index, total_docs, total_docs_3y, total_refs, total_citas_3y, docs_citables_3y, citas_por_doc_2y, refs_por_doc, pct_female, overton, cobertura, categorias, areas, titulo_alternativo, atributos_licencia, apc_amount_raw, Waiver policy information URL, Other fees information URL, servicios_preservacion, Preservation Service: national library, Preservation information URL, Deposit policy directory, URL for deposit policy, identificadores_persistentes, Continues, Continued By, fecha_ultimo_articulo, titulo_normalizado_doaj_dup, apc_monto_original, apc_moneda_original, tasa_usd_utilizada, apc_monto, apc_moneda, titulo_normalizado_facts_dup, is_hybrid, titulo_normalizado_openapc_dup, contraste_publindex_cuartil, ratio_citas_docs, sjr_score_zscore, h_index_zscore, sjr_score_minmax, h_index_minmax"
2346-2442,Revista De Derecho Privado,derecho privado,CO,Ciencias Sociales,11,imputado,894.17,2353.08,True,False,"apc_monto, apc_moneda","institucion_editora_2, institucion_editora_3, titulo_normalizado_scimago_dup, issn_impreso, Other organisation, Country of other organisation, atributos_licencia, apc_amount_raw, Waiver policy information URL, Other fees information URL, servicios_preservacion, Preservation Service: national library, Preservation information URL, Deposit policy directory, URL for deposit policy, Continues, Continued By, titulo_normalizado_doaj_dup, apc_monto_original, apc_moneda_original, tasa_usd_utilizada, apc_monto, apc_moneda, titulo_normalizado_facts_dup, is_hybrid, titulo_normalizado_openapc_dup"
