issn_normalizado,score_tfidf,score_scibert,score_tematico,score_calidad_costo,score_final,apc_monto_usd,apc_tipo,cuartil_sjr_ord,h_index,indice_calidad_costo
2389-9387,0.29268955897707744,0.5236155,0.31578215102629964,0.29945988534060586,0.6497299426703029,2570.4,observado,0,,0.07
0120-131X,0.18905174692321955,0.6943686,0.23958343529566353,0.3725423313872549,0.5472080521927597,1404.0,observado,2,3.0,0.1463
2665-5837,0.18874203253924576,0.7216187,0.24202970495050902,0.3225823305941822,0.5266925085971499,1697.09,observado,0,,0.0971
1692-6013,0.07992859994043892,0.68353033,0.14028877450230703,0.6572698055215833,0.5083584374135617,2638.47,observado,4,10.0,0.6265
2389-8194,0.18874203253924576,0.7216187,0.24202970495050902,0.2832928506515921,0.5070477686258549,3065.04,observado,0,,0.0605
2422-4200,0.15466582273238288,0.72957003,0.21215624208563616,0.34831371873127265,0.4850389536572566,262.81,observado,0,,0.2667
2500-5324,0.11312565280029468,0.7395891,0.1757719985219475,0.37707644167628074,0.4330188522727407,1974.5,observado,2,4.0,0.1367
2011-5318,0.1093139645344197,0.72418547,0.1708011162477296,0.37643029356969315,0.42362388823717134,2890.36,observado,1,16.0,0.0966
2145-7778,0.11313939211816469,0.74784756,0.17661020861313534,0.3545475664811473,0.4232841531219541,340.2,declarado,0,,0.2437
2344-8350,0.11601789598348396,0.6985264,0.1742687491001128,0.3354637478214961,0.40946906612902756,966.76,observado,0,,0.1436
