moneda,registros,registros_con_monto,registros_convertidos,registros_sin_tasa,tasa_usd,estado
ARS,4,4,4,0,0.0011,tasa_disponible
AUD,79,79,79,0,0.65,tasa_disponible
BDT,2,2,2,0,0.0091,tasa_disponible
BRL,102,102,102,0,0.2,tasa_disponible
CAD,8,8,8,0,0.74,tasa_disponible
CHF,635,635,635,0,1.13,tasa_disponible
CNY,243,243,243,0,0.14,tasa_disponible
CZK,4,4,4,0,0.046,tasa_disponible
EGP,100,100,100,0,0.021,tasa_disponible
EUR,1388,1388,1388,0,1.08,tasa_disponible
GBP,281,281,281,0,1.27,tasa_disponible
GHS,1,1,1,0,0.067,tasa_disponible
IDR,1251,1251,1251,0,6.3e-05,tasa_disponible
INR,54,54,54,0,0.012,tasa_disponible
IQD,99,99,99,0,0.000763,tasa_disponible
IRR,416,416,416,0,2.38e-05,tasa_disponible
JPY,56,56,56,0,0.0067,tasa_disponible
KPW,1,1,1,0,0.00111,tasa_disponible
KRW,36,36,36,0,0.00075,tasa_disponible
KZT,17,17,17,0,0.0021,tasa_disponible
LYD,2,2,2,0,0.2,tasa_disponible
MAD,6,6,6,0,0.1,tasa_disponible
MNT,1,1,1,0,0.00029,tasa_disponible
MXN,3,3,3,0,0.058,tasa_disponible
MYR,10,10,10,0,0.22,tasa_disponible
NGN,30,30,30,0,0.00065,tasa_disponible
NOK,14,14,14,0,0.094,tasa_disponible
NPR,3,3,3,0,0.0075,tasa_disponible
PEN,2,2,2,0,0.27,tasa_disponible
PHP,8,8,8,0,0.018,tasa_disponible
PKR,62,62,62,0,0.0036,tasa_disponible
PLN,57,57,57,0,0.26,tasa_disponible
RON,5,5,5,0,0.22,tasa_disponible
RSD,5,5,5,0,0.0092,tasa_disponible
RUB,62,62,62,0,0.011,tasa_disponible
SEK,2,2,2,0,0.096,tasa_disponible
SGD,1,1,1,0,0.74,tasa_disponible
SYP,5,5,5,0,7.69e-05,tasa_disponible
THB,10,10,10,0,0.029,tasa_disponible
TRY,13,13,13,0,0.031,tasa_disponible
TWD,1,1,1,0,0.032,tasa_disponible
UAH,134,134,134,0,0.027,tasa_disponible
UGX,1,1,1,0,0.00027,tasa_disponible
USD,3307,3307,3307,0,1.0,tasa_disponible
VND,5,5,5,0,3.8e-05,tasa_disponible
XAF,3,3,3,0,0.00164,tasa_disponible
XOF,12,12,12,0,0.00164,tasa_disponible
YER,6,6,6,0,0.004,tasa_disponible
ZAR,115,115,115,0,0.055,tasa_disponible
